,Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id
5555,45,102.27,8070,8388,36.18,96.20,172,9,16,43,14,South Africa,Durban,2348,5390
5556,55,125.00,8125,8432,36.27,96.35,172,9,16,44,14,South Africa,Johannesburg,2349,5390
5557,76,165.21,8201,8478,36.44,96.73,172,9,16,45,14,Bangladesh,Chattogram,2365,5390
5558,32,106.66,8233,8508,36.42,96.76,172,9,16,45,14,Bangladesh,Fatullah,2366,5390
5560,92,76.66,8325,8628,36.67,96.48,172,9,16,46,14,West Indies,Mumbai (BS),2432,5390
5561,10,100.00,8335,8638,36.55,96.49,172,9,16,46,14,England,Jaipur,2434,5390
5562,23,95.83,8358,8662,36.49,96.49,172,9,16,46,14,India,Mohali,2440,5390
5563,3,27.27,8361,8673,36.35,96.40,172,9,16,46,14,New Zealand,Mohali,2441,5390
5564,2,22.22,8363,8682,36.20,96.32,172,9,16,46,14,West Indies,Mumbai (BS),2443,5390
5565,60,98.36,8423,8743,36.30,96.33,172,9,16,47,14,England,Melbourne,2473,5390
5566,61,105.17,8484,8801,36.41,96.39,172,9,16,48,14,New Zealand,Hobart,2474,5390
5567,8,50.00,8492,8817,36.29,96.31,172,9,16,48,14,England,Brisbane,2478,5390
5568,3,100.00,8495,8820,36.14,96.31,172,9,16,48,14,New Zealand,Sydney,2479,5390
5569,23,121.05,8518,8839,36.09,96.36,172,9,16,48,14,England,Adelaide,2486,5390
5570,13,65.00,8531,8859,35.99,96.29,172,9,16,48,14,New Zealand,Perth,2488,5390
5571,0,0.00,8531,8860,35.84,96.28,172,9,17,48,14,England,Sydney,2497,5390
5572,29,103.57,8560,8888,35.81,96.30,172,9,17,48,14,New Zealand,Melbourne,2501,5390
5573,5,50.00,8565,8898,35.68,96.25,172,9,17,48,14,England,Melbourne,2515,5390
5574,20,117.64,8585,8915,35.62,96.29,172,9,17,48,14,England,Sydney,2519,5390
5575,46,83.63,8631,8970,35.66,96.22,172,9,17,48,14,Scotland,Basseterre,2532,5390
5576,57,89.06,8688,9034,35.75,96.17,172,9,17,49,14,Netherlands,Basseterre,2540,5390
5577,42,100.00,8730,9076,35.77,96.18,172,9,17,49,14,South Africa,Basseterre,2552,5390
5578,7,77.77,8737,9085,35.66,96.16,172,9,17,49,14,West Indies,North Sound,2555,5390
5579,59*,134.09,8796,9129,35.90,96.35,172,10,17,50,14,Bangladesh,North Sound,2559,5390
5580,27,72.97,8823,9166,35.86,96.25,172,10,17,50,14,England,North Sound,2565,5390
5581,34,136.00,8857,9191,35.85,96.36,172,10,17,50,14,Ireland,Bridgetown,2570,5390
5582,30,61.22,8887,9240,35.83,96.17,172,10,17,50,14,Sri Lanka,St George's,2573,5390
5583,1,50.00,8888,9242,35.69,96.16,172,10,17,50,14,New Zealand,St George's,2577,5390
5584,1,20.00,8889,9247,35.55,96.12,172,10,17,50,14,South Africa,Gros Islet,2580,5390
5585,149,143.26,9038,9351,36.00,96.65,172,10,17,50,15,Sri Lanka,Bridgetown,2581,5390
5586,12,109.09,9050,9362,35.91,96.66,172,10,17,50,15,India,Bengaluru,2621,5390
5587,0,0.00,9050,9367,35.77,96.61,172,10,18,50,15,India,Kochi,2623,5390
5588,29,93.54,9079,9398,35.74,96.60,172,10,18,50,15,India,Hyderabad (Deccan),2625,5390
5589,18,105.88,9097,9415,35.67,96.62,172,10,18,50,15,India,Chandigarh,2627,5390
5590,79*,102.59,9176,9492,35.98,96.67,172,11,18,51,15,India,Vadodara,2629,5390
5591,51,108.51,9227,9539,36.04,96.72,172,11,18,52,15,India,Nagpur,2631,5390
5592,19,73.07,9246,9565,35.97,96.66,172,11,18,52,15,India,Mumbai,2632,5390
5593,51,175.86,9297,9594,36.03,96.90,172,11,18,53,15,New Zealand,Adelaide,2655,5390
5595,14,82.35,9311,9611,35.94,96.87,172,11,18,53,15,India,Brisbane,2670,5390
5596,61,75.30,9372,9692,36.04,96.69,172,11,18,54,15,Sri Lanka,Sydney,2673,5390
5597,0,0.00,9372,9695,35.90,96.66,172,11,19,54,15,India,Melbourne,2675,5390
5598,118,89.39,9490,9827,36.22,96.57,172,11,19,54,16,Sri Lanka,Perth,2679,5390
5599,15,88.23,9505,9844,36.14,96.55,172,11,19,54,16,India,Adelaide,2680,5390
5600,6,54.54,9511,9855,36.02,96.50,172,11,19,54,16,Sri Lanka,Melbourne,2683,5390
5601,16,228.57,9527,9862,35.95,96.60,172,11,19,54,16,India,Sydney,2685,5390
5602,83,166.00,9610,9912,36.12,96.95,172,11,19,55,16,Sri Lanka,Melbourne,2687,5390
5603,7,100.00,9617,9919,36.01,96.95,172,11,19,55,16,India,Sydney,2688,5390
5604,2,66.66,9619,9922,35.89,96.94,172,11,19,55,16,India,Brisbane,2689,5390
5605,20,52.63,20,38,20.00,52.63,20,0,0,0,0,England,Bloemfontein,2219,44936
5606,16,57.14,36,66,18.00,54.54,20,0,0,0,0,England,Port Elizabeth,2221,44936
5607,9,64.28,45,80,15.00,56.25,20,0,0,0,0,England,Cape Town,2223,44936
5608,2,28.57,47,87,11.75,54.02,20,0,0,0,0,England,East London,2224,44936
5609,7,100.00,54,94,10.80,57.44,20,0,0,0,0,Zimbabwe,Port Elizabeth,2233,44936
5610,17,58.62,71,123,11.83,57.72,20,0,0,0,0,West Indies,Port of Spain,2244,44936
5611,30,120.00,101,148,14.42,68.24,30,0,0,0,0,West Indies,Port of Spain,2245,44936
5612,24,104.34,125,171,15.62,73.09,30,0,0,0,0,Asia XI,Centurion,2269,44936
5613,39,58.20,164,238,18.22,68.90,39,0,0,0,0,Asia XI,Durban,2270,44936
5614,29,100.00,193,267,19.30,72.28,39,0,0,0,0,New Zealand,Port Elizabeth,2289,44936
5615,6,33.33,199,285,18.09,69.82,39,0,0,0,0,New Zealand,Durban,2292,44936
5616,11,44.00,210,310,17.50,67.74,39,0,0,0,0,New Zealand,Centurion,2293,44936
5617,7,43.75,217,326,16.69,66.56,39,0,0,0,0,India,Hyderabad (Deccan),2297,44936
5618,4,80.00,221,331,15.78,66.76,39,0,0,0,0,India,Bengaluru,2298,44936
5619,43,143.33,264,361,17.60,73.13,43,0,0,0,0,Australia,Centurion,2341,44936
5620,18,78.26,282,384,17.62,73.43,43,0,0,0,0,Australia,Cape Town,2345,44936
5621,68,73.91,350,476,20.58,73.52,68,0,0,1,0,Australia,Port Elizabeth,2347,44936
5622,38,84.44,388,521,21.55,74.47,68,0,0,1,0,Australia,Durban,2348,44936
5623,14,70.00,402,541,21.15,74.30,68,0,0,1,0,Australia,Johannesburg,2349,44936
5624,54,61.36,456,629,22.80,72.49,68,0,0,2,0,Sri Lanka,Ahmedabad,2435,44936
5625,10,90.90,466,640,22.19,72.81,68,0,0,2,0,Pakistan,Mohali,2438,44936
5626,46,80.70,512,697,23.27,73.45,68,0,0,2,0,West Indies,Jaipur,2442,44936
5627,41,87.23,553,744,24.04,74.32,68,0,0,2,0,India,Durban,2447,44936
5628,29,96.66,582,774,24.25,75.19,68,0,0,2,0,India,Cape Town,2449,44936
5629,13,162.50,595,782,23.80,76.08,68,0,0,2,0,India,Port Elizabeth,2452,44936
5630,92*,93.87,687,880,27.48,78.06,92*,1,0,3,0,India,Centurion,2458,44936
5631,67,85.89,754,958,29.00,78.70,92*,1,0,4,0,Pakistan,Centurion,2506,44936
5632,43,93.47,797,1004,29.51,79.38,92*,1,0,4,0,Pakistan,Durban,2513,44936
5634,50*,125.00,847,1044,31.37,81.13,92*,2,0,5,0,Pakistan,Cape Town,2521,44936
5635,71*,82.55,918,1130,34.00,81.23,92*,3,0,6,0,Pakistan,Johannesburg,2523,44936
5636,0,0.00,918,1132,32.78,81.09,92*,3,1,6,0,Netherlands,Basseterre,2537,44936
5637,62,137.77,980,1177,33.79,83.26,92*,3,1,7,0,Scotland,Basseterre,2545,44936
5638,92,131.42,1072,1247,35.73,85.96,92*,3,1,8,0,Australia,Basseterre,2552,44936
5639,0,0.00,1072,1252,34.58,85.62,92*,3,2,8,0,Sri Lanka,Providence,2556,44936
5640,0,0.00,1072,1255,33.50,85.41,92*,3,3,8,0,Ireland,Providence,2562,44936
5641,15,38.46,1087,1294,32.93,84.00,92*,3,3,8,0,Bangladesh,Providence,2564,44936
5642,146,112.30,1233,1424,36.26,86.58,146,3,3,8,1,West Indies,St George's,2567,44936
5643,0,0.00,1233,1430,35.22,86.22,146,3,4,8,1,New Zealand,St George's,2571,44936
5644,42,120.00,1275,1465,35.41,87.03,146,3,4,8,1,England,Bridgetown,2574,44936
5645,15,44.11,1290,1499,34.86,86.05,146,3,4,8,1,Australia,Gros Islet,2580,44936
5646,4,200.00,1294,1501,34.05,86.20,146,3,4,8,1,Asia XI,Bengaluru,2587,44936
5647,13,130.00,1307,1511,33.51,86.49,146,3,4,8,1,Asia XI,Chennai,2588,44936
5648,70,111.11,1377,1574,34.42,87.48,146,3,4,9,1,Asia XI,Chennai,2589,44936
5649,40,114.28,1417,1609,34.56,88.06,146,3,4,9,1,Ireland,Belfast,2591,44936
5650,24,64.86,1441,1646,34.30,87.54,146,3,4,9,1,India,Belfast,2592,44936
5651,0,0.00,1441,1652,33.51,87.22,146,3,5,9,1,India,Belfast,2593,44936
5652,15,42.85,1456,1687,33.09,86.30,146,3,5,9,1,India,Belfast,2595,44936
5653,63,74.11,1519,1772,33.75,85.72,146,3,5,10,1,Zimbabwe,Bulawayo,2612,44936
5654,0*,0.00,1519,1777,33.75,85.48,146,4,5,10,1,Zimbabwe,Harare,2614,44936
5655,107,120.22,1626,1866,35.34,87.13,146,4,5,10,2,Zimbabwe,Harare,2615,44936
5656,103*,108.42,1729,1961,37.58,88.16,146,5,5,10,3,Pakistan,Lahore,2633,44936
5657,35,68.62,1764,2012,37.53,87.67,146,5,5,10,3,Pakistan,Lahore,2635,44936
5658,17,60.71,1781,2040,37.10,87.30,146,5,5,10,3,Pakistan,Faisalabad,2637,44936
5659,1*,100.00,1782,2041,37.12,87.31,146,6,5,10,3,Pakistan,Multan,2639,44936
5660,17,80.95,1799,2062,36.71,87.24,146,6,5,10,3,Pakistan,Lahore,2642,44936
5661,87,84.46,1886,2165,37.72,87.11,146,6,5,11,3,New Zealand,Durban,2648,44936
5662,8,61.53,1894,2178,37.13,86.96,146,6,5,11,3,New Zealand,Port Elizabeth,2650,44936
5663,2,16.66,1896,2190,36.46,86.57,146,6,5,11,3,New Zealand,Cape Town,2652,44936
5664,2,22.22,1898,2199,35.81,86.31,146,6,5,11,3,West Indies,Centurion,2661,44936
5665,45,76.27,1943,2258,35.98,86.04,146,6,5,11,3,West Indies,Cape Town,2664,44936
5666,18,72.00,1961,2283,35.65,85.89,146,6,5,11,3,West Indies,Port Elizabeth,2666,44936
5667,77,89.53,2038,2369,36.39,86.02,146,6,5,12,3,West Indies,Durban,2668,44936
5670,69*,61.60,2107,2481,37.62,84.92,146,7,5,13,3,Bangladesh,Dhaka,2691,44936
5671,40,108.10,2147,2518,37.66,85.26,146,7,5,13,3,Bangladesh,Dhaka,2692,44936
5672,24,68.57,2171,2553,37.43,85.03,146,7,5,13,3,England,Leeds,2748,44936
5673,5,20.00,2176,2578,36.88,84.40,146,7,5,13,3,England,Nottingham,2754,44936
5674,12,52.17,2188,2601,36.46,84.12,146,7,5,13,3,England,The Oval,2757,44936
5675,14,41.17,2202,2635,36.09,83.56,146,7,5,13,3,England,Lord's,2759,44936
5677,11,64.70,2213,2652,35.69,83.44,146,7,5,13,3,Kenya,Bloemfontein,2769,44936
5678,28,127.27,2241,2674,35.57,83.80,146,7,5,13,3,Kenya,Kimberley,2770,44936
5679,35,81.39,2276,2717,35.56,83.76,146,7,5,13,3,Bangladesh,Potchefstroom,2771,44936
5680,54*,200.00,2330,2744,36.40,84.91,146,8,5,14,3,Bangladesh,Benoni,2772,44936
5681,44,70.96,2374,2806,36.52,84.60,146,8,5,14,3,Australia,Hobart,2796,44936
5682,5,125.00,2379,2810,36.04,84.66,146,8,5,14,3,Australia,Sydney,2802,44936
5683,82*,96.47,2461,2895,37.28,85.00,146,9,5,15,3,Australia,Adelaide,2804,44936
5684,60,84.50,2521,2966,37.62,84.99,146,9,5,16,3,Australia,Perth,2808,44936
5685,2,33.33,2523,2972,37.10,84.89,146,9,5,16,3,Australia,Durban,2832,44936
5686,36*,85.71,2559,3014,37.63,84.90,146,10,5,16,3,Australia,Centurion,2834,44936
5687,80,91.95,2639,3101,38.24,85.10,146,10,5,17,3,Australia,Cape Town,2839,44936
5688,84,113.51,2723,3175,38.90,85.76,146,10,5,18,3,Australia,Port Elizabeth,2840,44936
5689,38,90.47,2761,3217,38.88,85.82,146,10,5,18,3,Australia,Johannesburg,2841,44936
5690,24,63.15,2785,3255,38.68,85.56,146,10,5,18,3,Sri Lanka,Centurion,2893,44936
5691,70*,92.10,2855,3331,39.65,85.70,146,11,5,19,3,New Zealand,Centurion,2895,44936
5692,36,87.80,2891,3372,39.60,85.73,146,11,5,19,3,England,Centurion,2900,44936
5693,51,100.00,2942,3423,39.75,85.94,146,11,5,20,3,Zimbabwe,Benoni,2926,44936
5694,5,45.45,2947,3434,39.29,85.81,146,11,5,20,3,Zimbabwe,Centurion,2928,44936
5695,2,20.00,2949,3444,38.80,85.62,146,11,5,20,3,England,Centurion,2929,44936
5696,121,142.35,3070,3529,39.87,86.99,146,11,5,20,4,England,Cape Town,2930,44936
5697,22,61.11,3092,3565,39.64,86.73,146,11,5,20,4,England,Port Elizabeth,2931,44936
5698,25,108.69,3117,3588,39.45,86.87,146,11,5,20,4,India,Jaipur,2961,44936
5699,114*,112.87,3231,3689,40.89,87.58,146,12,5,20,5,India,Gwalior,2962,44936
5700,102*,172.88,3333,3748,42.18,88.92,146,13,5,20,6,India,Ahmedabad,2963,44936
5701,102,100.99,3435,3849,42.93,89.24,146,13,5,20,7,West Indies,North Sound,2979,44936
5702,41,117.14,3476,3884,42.91,89.49,146,13,5,20,7,West Indies,North Sound,2980,44936
5703,70,87.50,3546,3964,43.24,89.45,146,13,5,21,7,West Indies,Roseau,2982,44936
5704,57*,89.06,3603,4028,43.93,89.44,146,14,5,22,7,West Indies,Roseau,2984,44936
5705,13,81.25,3616,4044,43.56,89.41,146,14,5,22,7,West Indies,Port of Spain,2987,44936
5706,21,131.25,3637,4060,43.29,89.58,146,14,5,22,7,Zimbabwe,Bloemfontein,3057,44936
5707,101*,140.27,3738,4132,44.50,90.46,146,15,5,22,8,Zimbabwe,Potchefstroom,3059,44936
5708,109,110.10,3847,4231,45.25,90.92,146,15,5,22,9,Zimbabwe,Benoni,3061,44936
5709,51,96.22,3898,4284,45.32,90.98,146,15,5,23,9,Pakistan,Abu Dhabi,3062,44936
5710,29,67.44,3927,4327,45.13,90.75,146,15,5,23,9,Pakistan,Abu Dhabi,3063,44936
5711,19,47.50,3946,4367,44.84,90.35,146,15,5,23,9,Pakistan,Dubai (DSC),3064,44936
5712,49,70.00,3995,4437,44.88,90.03,146,15,5,23,9,Pakistan,Dubai (DSC),3067,44936
5713,61,84.72,4056,4509,45.06,89.95,146,15,5,24,9,Pakistan,Dubai (DSC),3069,44936
5714,76,110.14,4132,4578,45.40,90.25,146,15,5,25,9,India,Durban,3079,44936
5715,8,61.53,4140,4591,45.00,90.17,146,15,5,25,9,India,Johannesburg,3080,44936
5716,16,80.00,4156,4611,44.68,90.13,146,15,5,25,9,India,Cape Town,3082,44936
5717,3,60.00,4159,4616,44.24,90.09,146,15,5,25,9,India,Port Elizabeth,3084,44936
5718,11,91.66,4170,4628,43.89,90.10,146,15,5,25,9,India,Centurion,3087,44936
5719,107*,101.90,4277,4733,45.02,90.36,146,16,5,25,10,West Indies,Delhi,3106,44936
5720,134,136.73,4411,4831,45.94,91.30,146,16,5,25,11,Netherlands,Mohali,3115,44936
5721,25,56.81,4436,4875,45.73,90.99,146,16,5,25,11,England,Chennai,3120,44936
5722,52,133.33,4488,4914,45.79,91.33,146,16,5,26,11,India,Nagpur,3128,44936
5723,35,87.50,4523,4954,45.68,91.29,146,16,5,26,11,New Zealand,Dhaka,3144,44936
5724,52,130.00,4575,4994,45.75,91.60,146,16,5,27,11,Sri Lanka,Paarl,3225,44936
5725,17,130.76,4592,5007,45.46,91.71,146,16,5,27,11,Sri Lanka,East London,3226,44936
5726,39*,108.33,4631,5043,45.85,91.83,146,17,5,27,11,Sri Lanka,Bloemfontein,3227,44936
5727,96,126.31,4727,5119,46.34,92.34,146,17,5,28,11,Sri Lanka,Kimberley,3228,44936
5728,125*,127.55,4852,5217,47.56,93.00,146,18,5,28,12,Sri Lanka,Johannesburg,3229,44936
5729,106*,100.00,4958,5323,48.60,93.14,146,19,5,28,13,New Zealand,Wellington,3249,44936
5730,31*,88.57,4989,5358,48.91,93.11,146,20,5,28,13,New Zealand,Napier,3252,44936
5731,9*,180.00,4998,5363,49.00,93.19,146,21,5,28,13,New Zealand,Auckland,3254,44936
5733,28,96.55,5026,5392,48.79,93.21,146,21,5,28,13,England,Southampton,3298,44936
5734,28,90.32,5054,5423,48.59,93.19,146,21,5,28,13,England,The Oval,3300,44936
5735,39,84.78,5093,5469,48.50,93.12,146,21,5,28,13,England,Lord's,3302,44936
5736,75*,94.93,5168,5548,49.21,93.15,146,22,5,29,13,England,Nottingham,3304,44936
5737,7,87.50,5175,5556,48.82,93.14,146,22,5,29,13,New Zealand,Paarl,3323,44936
5738,65,103.17,5240,5619,48.97,93.25,146,22,5,30,13,Pakistan,Bloemfontein,3343,44936
5739,4,80.00,5244,5624,48.55,93.24,146,22,5,30,13,Pakistan,Centurion,3346,44936
5740,128,118.51,5372,5732,49.28,93.71,146,22,5,30,14,Pakistan,Johannesburg,3347,44936
5741,75,69.44,5447,5840,49.51,93.27,146,22,5,31,14,Pakistan,Durban,3348,44936
5742,95*,85.58,5542,5951,50.38,93.12,146,23,5,32,14,Pakistan,Benoni,3350,44936
5744,70,98.59,5612,6022,50.55,93.19,146,23,5,33,14,India,Cardiff,3363,44936
5745,31,100.00,5643,6053,50.38,93.22,146,23,5,33,14,Pakistan,Birmingham,3367,44936
5746,37,142.30,5680,6079,50.26,93.43,146,23,5,33,14,West Indies,Cardiff,3371,44936
5747,0,0.00,5680,6088,49.82,93.29,146,23,6,33,14,England,The Oval,3375,44936
5748,23,121.05,5703,6107,49.59,93.38,146,23,6,33,14,Sri Lanka,Colombo (RPS),3392,44936
5749,12,66.66,5715,6125,49.26,93.30,146,23,6,33,14,Sri Lanka,Colombo (RPS),3394,44936
5750,47,65.27,5762,6197,49.24,92.98,146,23,6,33,14,Sri Lanka,Pallekele,3398,44936
5751,4,50.00,5766,6205,48.86,92.92,146,23,6,33,14,Sri Lanka,Pallekele,3400,44936
5752,51,100.00,5817,6256,48.88,92.98,146,23,6,34,14,Sri Lanka,Colombo (RPS),3401,44936
5753,4,33.33,5821,6268,48.50,92.86,146,23,6,34,14,Pakistan,Sharjah,3425,44936
5754,10,47.61,5831,6289,48.19,92.71,146,23,6,34,14,Pakistan,Dubai (DSC),3427,44936
5755,34,85.00,5865,6329,48.07,92.66,146,23,6,34,14,Pakistan,Abu Dhabi,3430,44936
5756,30,75.00,5895,6369,47.92,92.55,146,23,6,34,14,Pakistan,Abu Dhabi,3431,44936
5757,115*,112.74,6010,6471,48.86,92.87,146,24,6,34,15,Pakistan,Sharjah,3433,44936
5758,10,66.66,6020,6486,48.54,92.81,146,24,6,34,15,Pakistan,Cape Town,3438,44936
5759,74,164.44,6094,6531,48.75,93.30,146,24,6,35,15,Pakistan,Port Elizabeth,3440,44936
5760,48*,76.19,6142,6594,49.13,93.14,146,25,6,35,15,Pakistan,Centurion,3441,44936
5761,77,163.82,6219,6641,49.35,93.64,146,25,6,36,15,India,Johannesburg,3442,44936
5762,3,75.00,6222,6645,48.99,93.63,146,25,6,36,15,India,Durban,3443,44936
5763,109,107.92,6331,6746,49.46,93.84,146,25,6,36,16,India,Centurion,3444,44936
5764,75,107.14,6406,6816,49.65,93.98,146,25,6,37,16,Sri Lanka,Colombo (RPS),3500,44936
5765,29,70.73,6435,6857,49.50,93.84,146,25,6,37,16,Sri Lanka,Pallekele,3501,44936
5766,108,152.11,6543,6928,49.94,94.44,146,25,6,37,17,Sri Lanka,Hambantota,3502,44936
5767,21,175.00,6564,6940,49.72,94.58,146,25,6,37,17,Zimbabwe,Bulawayo,3507,44936
5768,1,25.00,6565,6944,49.36,94.54,146,25,6,37,17,Zimbabwe,Bulawayo,3508,44936
5769,136*,128.30,6701,7050,50.38,95.04,146,26,6,37,18,Australia,Harare,3516,44936
5770,6,31.57,6707,7069,50.05,94.87,146,26,6,37,18,Australia,Harare,3522,44936
5771,16,88.88,6723,7087,49.80,94.86,146,26,6,37,18,Zimbabwe,Harare,3524,44936
5772,57*,139.02,6780,7128,50.22,95.11,146,27,6,38,18,Australia,Harare,3526,44936
5773,89*,104.70,6869,7213,50.88,95.23,146,28,6,39,18,New Zealand,Mount Maunganui,3536,44936
5774,37,148.00,6906,7238,50.77,95.41,146,28,6,39,18,New Zealand,Mount Maunganui,3537,44936
5775,33*,89.18,6939,7275,51.02,95.38,146,29,6,39,18,New Zealand,Hamilton,3538,44936
5776,80,105.26,7019,7351,51.23,95.48,146,29,6,40,18,Australia,Perth,3545,44936
5777,48,117.07,7067,7392,51.21,95.60,146,29,6,40,18,Australia,Perth,3546,44936
5778,52,152.94,7119,7426,51.21,95.86,146,29,6,41,18,Australia,Canberra,3548,44936
5779,91,103.40,7210,7514,51.50,95.95,146,29,6,42,18,Australia,Melbourne,3549,44936
5780,81,86.17,7291,7608,51.70,95.83,146,29,6,43,18,West Indies,Durban,3579,44936
5781,149,338.63,7440,7652,52.39,97.22,149,29,6,43,19,West Indies,Johannesburg,3583,44936
5783,19,76.00,7459,7677,52.16,97.16,149,29,6,43,19,West Indies,Port Elizabeth,3591,44936
5784,25,69.44,7484,7713,51.97,97.03,149,29,6,43,19,Zimbabwe,Hamilton,3601,44936
5785,30,78.94,7514,7751,51.82,96.94,149,29,6,43,19,India,Melbourne,3610,44936
5786,162*,245.45,7676,7817,52.93,98.19,162*,30,6,43,20,West Indies,Sydney,3616,44936
5787,24,266.66,7700,7826,52.73,98.38,162*,30,6,43,20,Ireland,Canberra,3621,44936
5788,77,132.75,7777,7884,52.90,98.64,162*,30,6,44,20,Pakistan,Auckland,3626,44936
5789,99,120.73,7876,7966,53.21,98.87,162*,30,6,45,20,U.A.E.,Wellington,3633,44936
5791,65*,144.44,7941,8011,53.65,99.12,162*,31,6,46,20,New Zealand,Auckland,3644,44936
5792,9,100.00,7950,8020,53.35,99.12,162*,31,6,46,20,New Zealand,Centurion,3676,44936
5793,31,68.88,7981,8065,53.20,98.95,162*,31,6,46,20,New Zealand,Potchefstroom,3677,44936
5794,64,133.33,8045,8113,53.27,99.16,162*,31,6,47,20,New Zealand,Durban,3678,44936
5795,104*,142.46,8149,8186,53.96,99.54,162*,32,6,47,21,India,Kanpur,3689,44936
5796,19,95.00,8168,8206,53.73,99.53,162*,32,6,47,21,India,Indore,3692,44936
5797,4,80.00,8172,8211,53.41,99.52,162*,32,6,47,21,India,Rajkot,3695,44936
5798,112,104.67,8284,8318,53.79,99.59,162*,32,6,47,22,India,Chennai,3698,44936
5799,119,195.08,8403,8379,54.21,100.28,162*,32,6,47,23,India,Mumbai,3700,44936
5800,8,80.00,8411,8389,53.91,100.26,162*,32,6,47,23,England,Bloemfontein,3732,44936
5801,73,80.21,8484,8480,54.03,100.04,162*,32,6,48,23,England,Port Elizabeth,3734,44936
5802,0*,0.00,8484,8481,54.03,100.03,162*,33,6,48,23,England,Centurion,3736,44936
5803,36,133.33,8520,8508,53.92,100.14,162*,33,6,48,23,England,Johannesburg,3737,44936
5804,101*,104.12,8621,8605,54.56,100.18,162*,34,6,48,24,England,Cape Town,3738,44936
5805,31,63.26,8652,8654,54.41,99.97,162*,34,6,48,24,West Indies,Providence,3739,44936
5806,22,57.89,8674,8692,54.21,99.79,162*,34,6,48,24,Australia,Providence,3741,44936
5807,39,121.87,8713,8724,54.11,99.87,162*,34,6,48,24,Australia,Basseterre,3743,44936
5808,27,142.10,8740,8743,53.95,99.96,162*,34,6,48,24,West Indies,Basseterre,3747,44936
5810,2,20.00,8742,8753,53.63,99.87,162*,34,6,48,24,West Indies,Bridgetown,3754,44936
5811,30*,111.11,8772,8780,53.81,99.90,162*,35,6,48,24,Sri Lanka,Port Elizabeth,3828,44936
5812,3,60.00,8775,8785,53.50,99.88,162*,35,6,48,24,Sri Lanka,Durban,3830,44936
5813,60*,98.36,8835,8846,53.87,99.87,162*,36,6,49,24,Sri Lanka,Johannesburg,3831,44936
5814,64,103.22,8899,8908,53.93,99.89,162*,36,6,50,24,Sri Lanka,Cape Town,3833,44936
5815,14,155.55,8913,8917,53.69,99.95,162*,36,6,50,24,Sri Lanka,Centurion,3834,44936
5816,37*,108.82,8950,8951,53.91,99.98,162*,37,6,50,24,New Zealand,Hamilton,3836,44936
5817,45,91.83,8995,9000,53.86,99.94,162*,37,6,50,24,New Zealand,Christchurch,3839,44936
5818,85,106.25,9080,9080,54.04,100.00,162*,37,6,51,24,New Zealand,Wellington,3841,44936
5819,72*,122.03,9152,9139,54.47,100.14,162*,38,6,52,24,New Zealand,Hamilton,3843,44936
5820,23,109.52,9175,9160,54.28,100.16,162*,38,6,52,24,New Zealand,Auckland,3846,44936
5821,45,118.42,9220,9198,54.23,100.23,162*,38,6,52,24,England,Leeds,3872,44936
5822,52,104.00,9272,9248,54.22,100.25,162*,38,6,53,24,England,Southampton,3873,44936
5823,27*,90.00,9299,9278,54.38,100.22,162*,39,6,53,24,England,Lord's,3874,44936
5824,4,100.00,9303,9282,54.08,100.22,162*,39,6,53,24,Sri Lanka,The Oval,3877,44936
5825,0,0.00,9303,9283,53.77,100.21,162*,39,7,53,24,Pakistan,Birmingham,3881,44936
5826,16,133.33,9319,9295,53.55,100.25,162*,39,7,53,24,India,The Oval,3886,44936
5828,176,169.23,9495,9399,54.25,101.02,176,39,7,53,25,Bangladesh,Paarl,3925,44936
5829,20,133.33,9515,9414,54.06,101.07,176,39,7,53,25,Bangladesh,East London,3929,44936
5830,26,144.44,9541,9432,53.90,101.15,176,39,7,53,25,India,Johannesburg,3973,44936
5831,6,85.71,9547,9439,53.63,101.14,176,39,7,53,25,India,Port Elizabeth,3976,44936
5832,30,88.23,9577,9473,53.50,101.09,176,39,7,53,25,India,Centurion,3978,44936
5834,8,88.88,8,9,8.00,88.88,8,0,0,0,0,South Africa,Belfast,2592,34102
5835,1,25.00,9,13,4.50,69.23,8,0,0,0,0,Australia,Hyderabad (Deccan),2625,34102
5836,52,85.24,61,74,20.33,82.43,52,0,0,1,0,Pakistan,Jaipur,2647,34102
5837,29,67.44,90,117,22.50,76.92,52,0,0,1,0,Australia,Brisbane,2670,34102
5838,0,0.00,90,119,18.00,75.63,52,0,1,1,0,Sri Lanka,Brisbane,2672,34102
5839,39*,63.93,129,180,25.80,71.66,52,1,1,1,0,Australia,Melbourne,2675,34102
5840,70*,109.37,199,244,39.80,81.55,70*,2,1,2,0,Sri Lanka,Canberra,2676,34102
5841,1,33.33,200,247,33.33,80.97,70*,2,1,2,0,Australia,Adelaide,2680,34102
5842,24,66.66,224,283,32.00,79.15,70*,2,1,2,0,Sri Lanka,Adelaide,2681,34102
5843,1,33.33,225,286,28.12,78.67,70*,2,1,2,0,Australia,Sydney,2685,34102
5844,3*,42.85,228,293,28.50,77.81,70*,3,1,2,0,Sri Lanka,Hobart,2686,34102
5845,66,75.86,294,380,32.66,77.36,70*,3,1,3,0,Australia,Sydney,2688,34102
5846,2,40.00,296,385,29.60,76.88,70*,3,1,3,0,Australia,Brisbane,2689,34102
