Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
19.0,0.01186284599967499,14.16,73.91,0.6098654708520179,7,88,0.0,0.0,0.13636363636363635,0.03787878787878788,0.07575757575757576,0.016826923076923076,2.0
31.0,0.011592004766805698,16.57,82.26,0.6098654708520179,7,113,0.0,0.13636363636363635,0.03787878787878788,0.07575757575757576,0.07196969696969698,0.016826923076923076,4.0
36.0,0.012729537944856725,19.0,93.25,0.6098654708520179,20,102,0.13636363636363635,0.03787878787878788,0.07575757575757576,0.07196969696969698,0.11742424242424243,0.016826923076923076,4.0
53.0,0.012837874438004443,22.77,100.49,0.7040358744394619,20,124,0.03787878787878788,0.07575757575757576,0.07196969696969698,0.11742424242424243,0.13636363636363635,0.016826923076923076,6.0
30.0,0.018200530848816426,23.5,100.85,0.7040358744394619,20,92,0.07575757575757576,0.07196969696969698,0.11742424242424243,0.13636363636363635,0.20075757575757577,0.021634615384615384,4.0
4.0,0.022642327067872815,21.72,97.95,0.7040358744394619,20,38,0.07196969696969698,0.11742424242424243,0.13636363636363635,0.20075757575757577,0.11363636363636365,0.021634615384615384,1.0
53.0,0.017550511889930124,24.33,92.99,0.7040358744394619,20,85,0.11742424242424243,0.13636363636363635,0.20075757575757577,0.11363636363636365,0.015151515151515152,0.021634615384615384,6.0
52.0,0.020529765451492335,28.66,97.17,0.7040358744394619,17,132,0.13636363636363635,0.20075757575757577,0.11363636363636365,0.015151515151515152,0.20075757575757577,0.026442307692307692,6.0
22.0,0.02659660906776448,28.15,96.06,0.7040358744394619,23,132,0.20075757575757577,0.11363636363636365,0.015151515151515152,0.20075757575757577,0.19696969696969696,0.03365384615384615,3.0
11.0,0.028980011917014246,29.0,92.4,0.7040358744394619,23,132,0.11363636363636365,0.015151515151515152,0.20075757575757577,0.19696969696969696,0.08333333333333334,0.03365384615384615,2.0
49.0,0.02545907588971345,30.42,95.51,0.7040358744394619,17,132,0.015151515151515152,0.20075757575757577,0.19696969696969696,0.08333333333333334,0.04166666666666667,0.036057692307692304,5.0
0.0,0.03342180813607064,28.4,95.3,0.7040358744394619,17,132,0.20075757575757577,0.19696969696969696,0.08333333333333334,0.04166666666666667,0.1856060606060606,0.036057692307692304,1.0
62.0,0.026704945560912192,30.5,93.84,0.7668161434977578,19,85,0.19696969696969696,0.08333333333333334,0.04166666666666667,0.1856060606060606,0.0,0.03365384615384615,7.0
4.0,0.03634689345105899,28.94,93.18,0.7668161434977578,19,62,0.08333333333333334,0.04166666666666667,0.1856060606060606,0.0,0.23484848484848486,0.038461538461538464,1.0
1.0,0.036888575916797575,27.38,92.84,0.7668161434977578,19,109,0.04166666666666667,0.1856060606060606,0.0,0.23484848484848486,0.015151515151515152,0.038461538461538464,1.0
1.0,0.036942744163371434,26.0,91.48,0.7668161434977578,23,117,0.1856060606060606,0.0,0.23484848484848486,0.015151515151515152,0.003787878787878788,0.038461538461538464,1.0
36.0,0.0332051351497752,26.5,87.6,0.7668161434977578,3,117,0.0,0.23484848484848486,0.015151515151515152,0.003787878787878788,0.003787878787878788,0.038461538461538464,4.0
