Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id,m1,m2,m3,m4,m5
5.0,83.33,1470.0,1953,32.77,75.52,84.0,5,3,12,0,England,Gwalior,813,35320,21.0,82.0,1.0,3.0,24.0
34.0,113.33,1475.0,1983,32.8,76.09,84.0,5,3,12,0,England,Gwalior,814,35320,82.0,1.0,3.0,24.0,5.0
3.0,33.33,1509.0,1992,32.17,75.90,84.0,5,3,12,0,Zimbabwe,Faridabad,817,35320,1.0,3.0,24.0,5.0,34.0
8.0,133.33,1512.0,1998,32.34,76.07,84.0,5,3,12,0,Zimbabwe,Guwahati,820,35320,3.0,24.0,5.0,34.0,3.0
21.0,53.84,1520.0,2037,32.1,75.65,84.0,6,3,12,0,Sri Lanka,Colombo (RPS),833,35320,24.0,5.0,34.0,3.0,8.0
15.0,50.00,1541.0,2067,31.75,75.27,84.0,6,3,12,0,Sri Lanka,Colombo (RPS),834,35320,5.0,34.0,3.0,8.0,21.0
25.0,64.10,1556.0,2106,31.62,75.07,84.0,6,3,12,0,Sri Lanka,Moratuwa,835,35320,34.0,3.0,8.0,21.0,15.0
26.0,86.66,1581.0,2136,32.14,75.23,84.0,6,3,12,0,Sri Lanka,Kanpur,846,35320,3.0,8.0,21.0,15.0,25.0
2.0,25.00,1607.0,2144,31.54,75.04,84.0,7,3,12,0,West Indies,Ahmedabad,851,35320,8.0,21.0,15.0,25.0,26.0
24.0,150.00,1609.0,2160,31.4,75.60,84.0,7,3,12,0,Zimbabwe,Indore,852,35320,21.0,15.0,25.0,26.0,2.0
3.0,12.00,1633.0,2185,30.86,74.87,84.0,7,3,12,0,South Africa,Mohali,855,35320,15.0,25.0,26.0,2.0,24.0
15.0,48.38,1636.0,2216,30.57,74.50,84.0,7,3,12,0,South Africa,Kolkata,856,35320,25.0,26.0,2.0,24.0,3.0
28.0,65.11,1651.0,2259,31.09,74.32,84.0,7,3,12,0,West Indies,Kolkata,858,35320,26.0,2.0,24.0,3.0,15.0
1.0,20.00,1679.0,2264,30.54,74.20,84.0,8,3,12,0,Sri Lanka,Rajkot,879,35320,2.0,24.0,3.0,15.0,28.0
11.0,61.11,1680.0,2282,30.74,74.10,84.0,8,3,12,0,Sri Lanka,Hyderabad (Deccan),881,35320,24.0,3.0,15.0,28.0,1.0
52.0,82.53,1691.0,2345,31.12,74.32,84.0,9,3,12,0,Sri Lanka,Jalandhar,883,35320,3.0,15.0,28.0,1.0,11.0
15.0,78.94,1743.0,2364,30.84,74.36,84.0,9,3,13,0,New Zealand,Napier,896,35320,15.0,28.0,1.0,11.0,52.0
82.0,167.34,1758.0,2413,31.72,76.25,84.0,9,3,13,0,New Zealand,Auckland,897,35320,28.0,1.0,11.0,52.0,15.0
63.0,84.00,1840.0,2488,32.25,76.48,84.0,9,3,14,0,New Zealand,Wellington,898,35320,1.0,11.0,52.0,15.0,82.0
40.0,153.84,1903.0,2514,32.38,77.28,84.0,9,3,15,0,New Zealand,Christchurch,899,35320,11.0,52.0,15.0,82.0,63.0
63.0,81.81,1943.0,2591,32.88,77.42,84.0,9,3,15,0,U.A.E.,Sharjah,904,35320,52.0,15.0,82.0,63.0,40.0
73.0,114.06,2006.0,2655,33.53,78.30,84.0,9,3,16,0,Pakistan,Sharjah,906,35320,15.0,82.0,63.0,40.0,63.0
6.0,85.71,2079.0,2662,33.09,78.32,84.0,9,3,17,0,Australia,Sharjah,910,35320,82.0,63.0,40.0,63.0,73.0
24.0,92.30,2085.0,2688,32.95,78.45,84.0,9,3,17,0,Pakistan,Sharjah,912,35320,63.0,40.0,63.0,73.0,6.0
11.0,68.75,2109.0,2704,33.12,78.40,84.0,9,3,17,0,Sri Lanka,Colombo (RPS),921,35320,40.0,63.0,73.0,6.0,24.0
6.0,120.00,2120.0,2709,32.7,78.47,84.0,10,3,17,0,Sri Lanka,Colombo (RPS),922,35320,63.0,73.0,6.0,24.0,11.0
110.0,84.61,2126.0,2839,33.87,78.76,110.0,10,3,17,0,Australia,Colombo (RPS),924,35320,73.0,6.0,24.0,11.0,6.0
0.0,0.00,2236.0,2841,33.37,78.70,110.0,10,3,17,1,Sri Lanka,Colombo (SSC),927,35320,6.0,24.0,11.0,6.0,110.0
0.0,0.00,2236.0,2845,32.88,78.59,110.0,10,4,17,1,West Indies,Faridabad,931,35320,24.0,11.0,6.0,110.0,0.0
0.0,0.00,2236.0,2849,32.4,78.48,110.0,10,5,17,1,West Indies,Mumbai,933,35320,11.0,6.0,110.0,0.0,0.0
8.0,33.33,2236.0,2873,32.05,78.10,110.0,10,6,17,1,West Indies,Chennai,936,35320,6.0,110.0,0.0,0.0,0.0
115.0,84.55,2244.0,3009,33.22,78.39,115.0,10,6,17,1,New Zealand,Vadodara,939,35320,110.0,0.0,0.0,0.0,8.0
34.0,72.34,2359.0,3056,33.23,78.30,115.0,10,6,17,2,West Indies,Kanpur,941,35320,0.0,0.0,0.0,8.0,115.0
62.0,114.81,2393.0,3110,33.63,78.93,115.0,10,6,17,2,New Zealand,Delhi,944,35320,0.0,0.0,8.0,115.0,34.0
66.0,97.05,2455.0,3178,34.06,79.32,115.0,10,6,18,2,West Indies,Kolkata,947,35320,0.0,8.0,115.0,34.0,62.0
54.0,84.37,2521.0,3242,34.33,79.42,115.0,10,6,19,2,West Indies,Visakhapatnam,949,35320,8.0,115.0,34.0,62.0,66.0
88.0,78.57,2575.0,3354,35.03,79.39,115.0,10,6,20,2,West Indies,Cuttack,950,35320,115.0,34.0,62.0,66.0,54.0
105.0,78.35,2663.0,3488,35.94,79.35,115.0,10,6,21,2,West Indies,Jaipur,951,35320,34.0,62.0,66.0,54.0,88.0
13.0,86.66,2768.0,3503,35.65,79.38,115.0,10,6,21,3,New Zealand,Napier,976,35320,62.0,66.0,54.0,88.0,105.0
37.0,72.54,2781.0,3554,35.67,79.29,115.0,10,6,21,3,South Africa,Hamilton,977,35320,66.0,54.0,88.0,105.0,13.0
47.0,117.50,2818.0,3594,35.81,79.71,115.0,10,6,21,3,Australia,Dunedin,979,35320,54.0,88.0,105.0,13.0,37.0
48.0,160.00,2865.0,3624,35.96,80.38,115.0,10,6,21,3,Bangladesh,Sharjah,993,35320,88.0,105.0,13.0,37.0,47.0
4.0,44.44,2913.0,3633,35.57,80.29,115.0,10,6,21,3,Pakistan,Sharjah,995,35320,105.0,13.0,37.0,47.0,48.0
112.0,104.67,2917.0,3740,36.93,80.98,115.0,10,6,21,3,Sri Lanka,Sharjah,997,35320,13.0,37.0,47.0,48.0,4.0
41.0,100.00,3029.0,3781,36.98,81.19,115.0,11,6,21,4,Sri Lanka,Sharjah,999,35320,37.0,47.0,48.0,4.0,112.0
30.0,150.00,3070.0,3801,36.9,81.55,115.0,11,6,21,4,New Zealand,Jamshedpur,1015,35320,47.0,48.0,4.0,112.0,41.0
39.0,76.47,3100.0,3852,36.92,81.49,115.0,11,6,21,4,New Zealand,Amritsar,1016,35320,48.0,4.0,112.0,41.0,30.0
7.0,63.63,3139.0,3863,36.58,81.43,115.0,11,6,21,4,New Zealand,Pune,1017,35320,4.0,112.0,41.0,30.0,39.0
65.0,110.16,3146.0,3922,36.9,81.87,115.0,11,6,21,4,New Zealand,Nagpur,1018,35320,112.0,41.0,30.0,39.0,7.0
1.0,25.00,3211.0,3926,36.5,81.81,115.0,11,6,22,4,New Zealand,Mumbai (BS),1019,35320,41.0,30.0,39.0,7.0,65.0
127.0,92.02,3212.0,4064,37.94,82.16,127.0,11,6,22,4,Kenya,Cuttack,1052,35320,30.0,39.0,7.0,65.0,1.0
70.0,76.92,3339.0,4155,38.3,82.04,127.0,12,6,22,5,West Indies,Gwalior,1056,35320,39.0,7.0,65.0,1.0,127.0
90.0,107.14,3409.0,4239,38.87,82.54,127.0,12,6,23,5,Australia,Mumbai,1065,35320,7.0,65.0,1.0,127.0,70.0
137.0,100.00,3499.0,4376,39.95,83.08,137.0,12,6,24,5,Sri Lanka,Delhi,1070,35320,65.0,1.0,127.0,70.0,90.0
3.0,25.00,3636.0,4388,39.55,82.93,137.0,12,6,24,6,Zimbabwe,Kanpur,1075,35320,1.0,127.0,70.0,90.0,137.0
31.0,52.54,3639.0,4447,39.46,82.52,137.0,12,6,24,6,Pakistan,Bengaluru,1078,35320,127.0,70.0,90.0,137.0,3.0
65.0,73.86,3670.0,4535,39.73,82.35,137.0,12,6,24,6,Sri Lanka,Kolkata,1081,35320,70.0,90.0,137.0,3.0,31.0
28.0,90.32,3735.0,4566,39.61,82.41,137.0,12,6,25,6,Sri Lanka,Singapore,1089,35320,90.0,137.0,3.0,31.0,65.0
100.0,90.09,3763.0,4677,40.23,82.59,137.0,12,6,25,6,Pakistan,Singapore,1091,35320,137.0,3.0,31.0,65.0,28.0
1.0,20.00,3863.0,4682,39.83,82.52,137.0,12,6,25,7,Pakistan,Sharjah,1094,35320,3.0,31.0,65.0,28.0,100.0
2.0,13.33,3864.0,4697,39.44,82.30,137.0,12,6,25,7,South Africa,Sharjah,1097,35320,31.0,65.0,28.0,100.0,1.0
118.0,84.28,3866.0,4837,40.24,82.36,137.0,12,6,25,7,Pakistan,Sharjah,1098,35320,65.0,28.0,100.0,1.0,2.0
17.0,65.38,3984.0,4863,40.01,82.27,137.0,12,6,25,8,South Africa,Sharjah,1100,35320,28.0,100.0,1.0,2.0,118.0
57.0,80.28,4001.0,4934,40.17,82.24,137.0,12,6,25,8,South Africa,Sharjah,1101,35320,100.0,1.0,2.0,118.0,17.0
30.0,157.89,4058.0,4953,40.07,82.53,137.0,12,6,26,8,England,The Oval,1102,35320,1.0,2.0,118.0,17.0,57.0
6.0,31.57,4088.0,4972,39.74,82.34,137.0,12,6,26,8,England,Leeds,1103,35320,2.0,118.0,17.0,57.0,30.0
1.0,9.09,4094.0,4983,39.37,82.17,137.0,12,6,26,8,England,Manchester,1104,35320,118.0,17.0,57.0,30.0,6.0
110.0,79.71,4095.0,5121,40.04,82.11,137.0,12,6,26,8,Sri Lanka,Colombo (RPS),1106,35320,17.0,57.0,30.0,6.0,1.0
40.0,86.95,4205.0,5167,40.04,82.15,137.0,12,6,26,9,Zimbabwe,Colombo (SSC),1110,35320,57.0,30.0,6.0,1.0,110.0
7.0,63.63,4245.0,5178,39.73,82.11,137.0,12,6,26,9,Australia,Colombo (SSC),1113,35320,30.0,6.0,1.0,110.0,40.0
89.0,100.00,4252.0,5267,40.57,82.41,137.0,12,6,26,9,Pakistan,Toronto,1115,35320,6.0,1.0,110.0,40.0,7.0
20.0,86.95,4341.0,5290,40.37,82.43,137.0,13,6,27,9,Pakistan,Toronto,1116,35320,1.0,110.0,40.0,7.0,89.0
2.0,15.38,4361.0,5303,40.02,82.27,137.0,13,6,27,9,Pakistan,Toronto,1117,35320,110.0,40.0,7.0,89.0,20.0
3.0,33.33,4363.0,5312,39.69,82.19,137.0,13,6,27,9,Pakistan,Toronto,1118,35320,40.0,7.0,89.0,20.0,2.0
23.0,52.27,4366.0,5356,39.54,81.94,137.0,13,6,27,9,Pakistan,Toronto,1119,35320,7.0,89.0,20.0,2.0,3.0
