Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
3.0,1633.0,30.86,74.87,84.0,South Africa,Mohali,15.0,25.0,26.0,2.0,24.0,140,1.0
15.0,1636.0,30.57,74.5,84.0,South Africa,Kolkata,25.0,26.0,2.0,24.0,3.0,140,1.0
28.0,1651.0,31.09,74.32,84.0,West Indies,Kolkata,26.0,2.0,24.0,3.0,15.0,140,2.0
1.0,1679.0,30.54,74.2,84.0,Sri Lanka,Rajkot,2.0,24.0,3.0,15.0,28.0,145,1.0
11.0,1680.0,30.74,74.1,84.0,Sri Lanka,Hyderabad (Deccan),24.0,3.0,15.0,28.0,1.0,145,1.0
52.0,1691.0,31.12,74.32,84.0,Sri Lanka,Jalandhar,3.0,15.0,28.0,1.0,11.0,150,3.0
15.0,1743.0,30.84,74.36,84.0,New Zealand,Napier,15.0,28.0,1.0,11.0,52.0,160,1.0
82.0,1758.0,31.72,76.25,84.0,New Zealand,Auckland,28.0,1.0,11.0,52.0,15.0,160,5.0
63.0,1840.0,32.25,76.48,84.0,New Zealand,Wellington,1.0,11.0,52.0,15.0,82.0,170,4.0
40.0,1903.0,32.38,77.28,84.0,New Zealand,Christchurch,11.0,52.0,15.0,82.0,63.0,180,3.0
63.0,1943.0,32.88,77.42,84.0,U.A.E.,Sharjah,52.0,15.0,82.0,63.0,40.0,180,4.0
73.0,2006.0,33.53,78.3,84.0,Pakistan,Sharjah,15.0,82.0,63.0,40.0,63.0,190,4.0
6.0,2079.0,33.09,78.32,84.0,Australia,Sharjah,82.0,63.0,40.0,63.0,73.0,200,1.0
24.0,2085.0,32.95,78.45,84.0,Pakistan,Sharjah,63.0,40.0,63.0,73.0,6.0,200,2.0
11.0,2109.0,33.12,78.4,84.0,Sri Lanka,Colombo (RPS),40.0,63.0,73.0,6.0,24.0,200,1.0
6.0,2120.0,32.7,78.47,84.0,Sri Lanka,Colombo (RPS),63.0,73.0,6.0,24.0,11.0,205,1.0
110.0,2126.0,33.87,78.76,110.0,Australia,Colombo (RPS),73.0,6.0,24.0,11.0,6.0,205,6.0
0.0,2236.0,33.37,78.7,110.0,Sri Lanka,Colombo (SSC),6.0,24.0,11.0,6.0,110.0,225,1.0
0.0,2236.0,32.88,78.59,110.0,West Indies,Faridabad,24.0,11.0,6.0,110.0,0.0,220,1.0
0.0,2236.0,32.4,78.48,110.0,West Indies,Mumbai,11.0,6.0,110.0,0.0,0.0,215,1.0
8.0,2236.0,32.05,78.1,110.0,West Indies,Chennai,6.0,110.0,0.0,0.0,0.0,210,1.0
115.0,2244.0,33.22,78.39,115.0,New Zealand,Vadodara,110.0,0.0,0.0,0.0,8.0,210,6.0
34.0,2359.0,33.23,78.3,115.0,West Indies,Kanpur,0.0,0.0,0.0,8.0,115.0,230,2.0
62.0,2393.0,33.63,78.93,115.0,New Zealand,Delhi,0.0,0.0,8.0,115.0,34.0,230,4.0
66.0,2455.0,34.06,79.32,115.0,West Indies,Kolkata,0.0,8.0,115.0,34.0,62.0,240,4.0
54.0,2521.0,34.33,79.42,115.0,West Indies,Visakhapatnam,8.0,115.0,34.0,62.0,66.0,250,3.0
