Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records
1,0.011862845999675,14.16,73.91,0.609865470852018,7,88,0,0,0.136363636363636,0.037878787878788,0.075757575757576,0.016826923076923
0.897727272727273,0.011592004766806,16.57,82.26,0.609865470852018,7,113,0,0.136363636363636,0.037878787878788,0.075757575757576,0.071969696969697,0.016826923076923
0.829545454545455,0.012729537944857,19,93.25,0.609865470852018,20,102,0.136363636363636,0.037878787878788,0.075757575757576,0.071969696969697,0.117424242424242,0.016826923076923
0.814393939393939,0.012837874438005,22.77,100.49,0.704035874439462,20,124,0.037878787878788,0.075757575757576,0.071969696969697,0.117424242424242,0.136363636363636,0.016826923076923
0.791666666666667,0.018200530848817,23.5,100.85,0.704035874439462,20,92,0.075757575757576,0.071969696969697,0.117424242424242,0.136363636363636,0.200757575757576,0.021634615384615
0.787878787878788,0.022642327067873,21.72,97.95,0.704035874439462,20,38,0.071969696969697,0.117424242424242,0.136363636363636,0.200757575757576,0.113636363636364,0.021634615384615
0.757575757575758,0.01755051188993,24.33,92.99,0.704035874439462,20,85,0.117424242424242,0.136363636363636,0.200757575757576,0.113636363636364,0.015151515151515,0.021634615384615
0.734848484848485,0.020529765451492,28.66,97.17,0.704035874439462,17,132,0.136363636363636,0.200757575757576,0.113636363636364,0.015151515151515,0.200757575757576,0.026442307692308
0.715909090909091,0.026596609067765,28.15,96.06,0.704035874439462,23,132,0.200757575757576,0.113636363636364,0.015151515151515,0.200757575757576,0.196969696969697,0.033653846153846
0.715909090909091,0.028980011917014,29,92.4,0.704035874439462,23,132,0.113636363636364,0.015151515151515,0.200757575757576,0.196969696969697,0.083333333333333,0.033653846153846
0.712121212121212,0.025459075889714,30.42,95.51,0.704035874439462,17,132,0.015151515151515,0.200757575757576,0.196969696969697,0.083333333333333,0.041666666666667,0.036057692307692
0.704545454545455,0.033421808136071,28.4,95.3,0.704035874439462,17,132,0.200757575757576,0.196969696969697,0.083333333333333,0.041666666666667,0.185606060606061,0.036057692307692
0.700757575757576,0.026704945560912,30.5,93.84,0.766816143497758,19,85,0.196969696969697,0.083333333333333,0.041666666666667,0.185606060606061,0,0.033653846153846
0.700757575757576,0.036346893451059,28.94,93.18,0.766816143497758,19,62,0.083333333333333,0.041666666666667,0.185606060606061,0,0.234848484848485,0.038461538461539
0.693181818181818,0.036888575916798,27.38,92.84,0.766816143497758,19,109,0.041666666666667,0.185606060606061,0,0.234848484848485,0.015151515151515,0.038461538461539
0.693181818181818,0.036942744163372,26,91.48,0.766816143497758,23,117,0.185606060606061,0,0.234848484848485,0.015151515151515,0.003787878787879,0.038461538461539
0.693181818181818,0.033205135149775,26.5,87.6,0.766816143497758,3,117,0,0.234848484848485,0.015151515151515,0.003787878787879,0.003787878787879,0.038461538461539
0.685606060606061,0.032880125670332,27.95,82.44,0.766816143497758,3,66,0.234848484848485,0.015151515151515,0.003787878787879,0.003787878787879,0.136363636363636,0.038461538461539
0.685606060606061,0.036942744163372,28.86,82.57,0.766816143497758,23,2,0.015151515151515,0.003787878787879,0.003787878787879,0.136363636363636,0.215909090909091,0.043269230769231
0.681818181818182,0.042467905313905,28.52,81.59,0.766816143497758,3,2,0.003787878787879,0.003787878787879,0.136363636363636,0.215909090909091,0.181818181818182,0.043269230769231
0.678030303030303,0.037538594875684,30.54,78.73,0.838565022421525,23,19,0.003787878787879,0.136363636363636,0.215909090909091,0.181818181818182,0.079545454545455,0.043269230769231
0.674242424242424,0.046693028546666,30.56,78.35,0.838565022421525,3,140,0.136363636363636,0.215909090909091,0.181818181818182,0.079545454545455,0.291666666666667,0.048076923076923
0.674242424242424,0.045555495368615,32.84,77.23,0.838565022421525,23,93,0.215909090909091,0.181818181818182,0.079545454545455,0.291666666666667,0.117424242424242,0.048076923076923
0.674242424242424,0.054384919560154,31.73,76.88,0.838565022421525,3,93,0.181818181818182,0.079545454545455,0.291666666666667,0.117424242424242,0.215909090909091,0.055288461538462
0.666666666666667,0.047559720491848,33.11,76.21,0.838565022421525,3,140,0.079545454545455,0.291666666666667,0.117424242424242,0.215909090909091,0.015151515151515,0.055288461538462
0.662878787878788,0.054980770272466,33.17,76.33,0.838565022421525,7,117,0.291666666666667,0.117424242424242,0.215909090909091,0.015151515151515,0.261363636363636,0.060096153846154
0.662878787878788,0.059476734738097,32.41,76.05,0.838565022421525,3,19,0.117424242424242,0.215909090909091,0.015151515151515,0.261363636363636,0.132575757575758,0.060096153846154
0.662878787878788,0.055414116245057,34.27,76.57,0.838565022421525,17,140,0.215909090909091,0.015151515151515,0.261363636363636,0.132575757575758,0.041666666666667,0.060096153846154
0.659090909090909,0.055414116245057,35.83,78.18,0.874439461883408,24,64,0.015151515151515,0.261363636363636,0.132575757575758,0.041666666666667,0.204545454545455,0.067307692307692
0.65530303030303,0.068143654189914,34.8,77.84,0.874439461883408,23,151,0.261363636363636,0.132575757575758,0.041666666666667,0.204545454545455,0.306818181818182,0.072115384615385
0.65530303030303,0.059693407724392,36.34,77.89,0.90134529147982,15,49,0.132575757575758,0.041666666666667,0.204545454545455,0.306818181818182,0.015151515151515,0.072115384615385
0.651515151515152,0.071827094956936,35.66,78.1,0.90134529147982,19,2,0.041666666666667,0.204545454545455,0.306818181818182,0.015151515151515,0.318181818181818,0.076923076923077
0.647727272727273,0.069877038080277,35.76,77.79,0.90134529147982,24,65,0.204545454545455,0.306818181818182,0.015151515151515,0.318181818181818,0.053030303030303,0.076923076923077
